  #time                      mass                       x-momentum                 y-momentum                 z-momentum                 E_total                    E_kinetic                  E_internal                                           
  8.854516663521916223E-004  9.999999999999997780E-001  2.688821387764050996E-017  1.734723475976807094E-017  0.000000000000000000E+000  9.685078409804305233E-001  1.896633566302410034E-001  7.788444843501954873E-001
  9.065704365330654350E-004  1.000000000000000000E+000  2.341876692568689577E-017 -3.122502256758252770E-017  0.000000000000000000E+000  9.685078409804230848E-001  1.902116017763784417E-001  7.782962392040496669E-001
  9.278360117571630853E-004  9.999999999999995559E-001 -6.938893903907228378E-018 -4.510281037539698445E-017  0.000000000000000000E+000  9.685078409804244171E-001  1.908173849549458234E-001  7.776904560254827015E-001
  9.492636272829749070E-004  1.000000000000000000E+000  1.301042606982605321E-017 -1.387778780781445676E-017  0.000000000000000000E+000  9.685078409804246391E-001  1.914530580699720652E-001  7.770547829104571536E-001
  9.708464171573882038E-004  1.000000000000000444E+000 -2.602085213965210642E-018  2.081668171172168513E-017  0.000000000000000000E+000  9.685078409804273036E-001  1.921412447793859890E-001  7.763665962010468657E-001
  9.926059107461633006E-004  1.000000000000000222E+000  1.908195823574487804E-017  1.214306433183764966E-017  0.000000000000000000E+000  9.685078409804288579E-001  1.928921975953577506E-001  7.756156433850767140E-001
  1.014513908916914045E-003  9.999999999999998890E-001  4.336808689942017736E-018  8.673617379884035472E-018  0.000000000000000000E+000  9.685078409804304123E-001  1.936482524988765441E-001  7.748595884815587809E-001
  1.036636333662712761E-003  9.999999999999997780E-001 -2.688821387764050996E-017 -2.081668171172168513E-017  0.000000000000000000E+000  9.685078409804319666E-001  1.944478057863163190E-001  7.740600351941189228E-001
  1.058905616277051051E-003  1.000000000000000000E+000 -1.474514954580286030E-017  6.938893903907228378E-018  0.000000000000000000E+000  9.685078409804334099E-001  1.952877022443752497E-001  7.732201387360608802E-001
  1.081414417527685112E-003  9.999999999999997780E-001 -1.908195823574487804E-017 -8.673617379884035472E-018  0.000000000000000000E+000  9.685078409804327437E-001  1.961247540480785534E-001  7.723830869323584647E-001
